UMAP1,UMAP2,Group,Sensitivity,Intensity_UpperQuartileIntensity_pBCL2,Intensity_MinIntensityEdge_BCL_2,subtype
6.5404143,1.126682,SJ65,0,-0.074336454,0.000925357,TAL1 DP-like with LMO2::TRB
4.2673974,2.263339,SJ65,0,0.026056454,0.001230538,TAL1 DP-like with LMO2::TRB
3.442138,0.11455687,SJ65,0,0.012472116,-0.001271942,TAL1 DP-like with LMO2::TRB
5.846813,-0.014739648,SJ65,0,-0.046984664,-0.00145505,TAL1 DP-like with LMO2::TRB
4.668192,4.307338,SJ65,0,0.095286646,-0.002675772,TAL1 DP-like with LMO2::TRB
2.0303285,2.2288525,SJ65,0,0.087500737,-0.001943339,TAL1 DP-like with LMO2::TRB
2.3400521,2.4305327,SJ65,0,0.065764249,0.002085043,TAL1 DP-like with LMO2::TRB
1.944157,4.60036,SJ65,0,0.17681177,0.001718827,TAL1 DP-like with LMO2::TRB
4.136479,1.1411602,SJ65,0,0.014062871,-0.00285888,TAL1 DP-like with LMO2::TRB
-2.8230102,4.4467626,SJ65,0,0.209191427,-0.002736808,TAL1 DP-like with LMO2::TRB
4.5506225,-0.67803353,SJ65,0,-0.044817879,0.003488873,TAL1 DP-like with LMO2::TRB
5.2413406,0.14898556,SJ65,0,-0.043475091,0.000925357,TAL1 DP-like with LMO2::TRB
2.846612,3.6635764,SJ65,0,0.076201425,0.00275644,TAL1 DP-like with LMO2::TRB
2.896868,-0.7073089,SJ65,0,0.004415349,-0.002675772,TAL1 DP-like with LMO2::TRB
-0.56467795,2.6729295,SJ65,0,0.04379125,-0.00285888,TAL1 DP-like with LMO2::TRB
-1.3228443,2.3850524,SJ65,0,0.124431387,0.007028966,TAL1 DP-like with LMO2::TRB
0.23911051,3.0981853,SJ65,0,0.135314883,0.002512296,TAL1 DP-like with LMO2::TRB
7.456572,2.2284822,SJ65,0,-0.039202555,-0.002736808,TAL1 DP-like with LMO2::TRB
